"Credit Card Type","نوع کارت اعتباری"
"Add New User","افزودن کاربر جدید"
"Items that you don","Items that you don"
"State/Province","ایالت/استان"
"Magento Commerce - Administrative Panel","Magento Commerce - پنل اجرایی"
"3 stars","3 ستاره"
"Credit Memo Date","تاریخ یادداشت اعتباری"
"Double click on a group to rename it","برای تغییر نام یک گروه بر روی آن دابل کلیک کنید"
"Rating Not Available","امتیاز دهی دردسترس نیست"
"Gift Certificate","گواهی هدیه"
"Assigned Answers","پاسخ‌های اختصاص یافته"
"Fax","فکس"
"Magento Admin","مدیر مجنتو"
"Newsletter Message Preview","پیش نمایش پیام خبرنامه"
"4 stars","4 ستاره"
"Company","شرکت"
"Invoice Date","تاریخ فاکتور"
"Qty Returned","تعداد برگشتی"
"Add New Customer Group","افزودن گروه مشتری جدید"
"Visitors","بازدیدکنندگان"
"Shipping Method","روش ارسال"
"Subtotal","جمع جز"
"5 stars","5 ستاره"
"Choose Store","انتخاب فروشگاه"
"Import Tax Rates","ورود نرخ‌های مالیات"
"Roles","وظایف"
"If you do not specify an option value for a store then the default value will be used.","اگر شما یک مقدار گزینه برای یک فروشگاه مشخص نکنید، مقدار پیش فرض به کار خواهد رفت."
"Shipping","ارسال"
"Select from existing customer addresses:","انتخاب از آدرس‌های مشتری موجود:"
"Products","محصولات"
"Edit User ","ویرایش کاربر "
"Item Status","وضعیت آیتم"
"Set as default billing address","تنظیم به عنوان آدرس صورت حساب پیش فرض"
"Position","موقعیت"
"Items Ordered","آیتم‌های سفارش داده شده"
"Fixed","ثابت"
"%s","%s"
"Same as Billing Address","همان آدرس صورت حساب"
"Product In Stores","محصول در فروشگاه‌ها"
"Working...","در حال کار..."
"Apply coupon code","اعمال کد کوپن"
"per page","تا بر صفحه"
"Tax","مالیات"
"Telephone","تلفن"
"Wishlist","لیست دلخواه"
"Magento","مجنتو"
"Expiration Date","تاریخ انقضا"
"Add New Class","افزودن کلاس جدید"
"Super product attributes configuration","پیکربندی ویژگی‌های فوق محصول"
"Previus page","صفحه‌ی قبل"
"Something went wrong...","یه چیزی اشتباه بود..."
"Lifetime Sales","تمام فروش‌ها تاکنون"
"SKU","کد کالا"
"Log Out","خروج"
"Failed","ناموفق"
"Billing Address","آدرس صورت حساب"
"Log into Magento Admin Page","ورود به صفحه‌ی مدیریت مجنتو"
"Invoice Status","وضعیت فاکتور"
"CC Type","نوع CC"
"Percentage","درصدی"
"Are you sure?","شما مطمئن‌اید؟"
"Email","ایمیل"
"Customer Group:","گروه مشتری:"
"Option","گزینه"
"Primary Billing Address","آدرس صورت حساب اولیه"
"Create Backup","ایجاد پشتیبان"
"Manage Options (values for your attribute)","گزینه‌های مدیریت (مقادیر برای ویژگی شما)"
"Total Due","مجموع بدهی"
"Copyright 2007","Copyright 2007"
"Newsletter Subscribers","مشترکین خبرنامه"
"CC Number","شماره‌ی CC"
"Add New Tax Rate","افزودن نرخ مالیات جدید"
"Product Name","نام محصول"
"Country","کشور"
"Purchase order number","شماره‌ی سفارش خرید"
"Date and Time","تاریخ و زمان"
"Categories","رده‌ها"
"Qty Cancelled","تعداد لغو شد"
"Card Verification Number","شماره‌ی امنیتی کارت"
"Order Date","تاریخ سفارش"
"This tab contains invalid data. Please correct before saving.","این تب حاوی داده‌ی نامعتبر است. لطفا پیش از ذخیره تصحیح نمایید."
"Customer Balance","تراز مشتری"
"Update Qty","به روز رسانی تعداد"
"Customer Groups","گروه‌های مشتری"
"Export to","صدور به"
"configuration","پیکربندی"
"Sorry, no quotes are available for this order at this time.","با عرض پوزش، درحال حاضر هیچ براورد هزینه‌ای برای این سفارش در دسترس نیست."
"Options","گزینه‌ها"
"Attribute Name","نام ویژگی"
"Total <strong>%d</strong> records found","مجموع <strong>%d</strong> رکورد یافت شد"
"Comment","توضیح"
"Set as default shipping address","تنظیم به عنوان آدرس ارسال پیش فرض"
"Last Name","نام خانوادگی"
"of","از"
"Newsletter Problem Reports","گزارشات مشکل خبرنامه"
"Sales Statistics","آمار فروش‌ها"
"Qty To Return","تعداد برای برگشت"
"New Customer Address","آدرس مشتری جدید"
"Roles Resources","منابع وظایف"
"Zip/Post Code","کد پستی"
"Order Status","وضعیت سفارش"
"Store","فروشگاه"
"Product Categories","رده‌های محصول"
"Online Customers","مشتریان آنلاین"
"Next page","صفحه‌ی بعد"
"Items Shipped","آیتم‌های ارسال شده"
"Unassigned Attributes","ویژگی‌های اختصاص نیافته"
"Not Charged Yet","هنوز شارژ نشده"
"This group contains system attributes.\nPlease, move system attributes to another group and try again.","این گروه محتوی ویژگی‌های سیستمی است. \nلطفا، ویژگی‌های سیستمی را به گروه دیگری منتقل نموده و دوباره سعی نمایید."
"copy data from","کپی داده از"
"Add","افزودن"
"Total Payed","مجموع پرداخت شده"
"Shopping Cart","سبد خرید"
"Order History","پیشینه‌ی سفارش"
"Empty","خالی"
"Unable to complete request. Please, try again later.","ناتوان در تکمیل درخواست. لطفا، بعدا دوباره سعی نمایید."
"Customers","مشتریان"
"Customer does not have any addresses","مشتری هیج آدرسی ندارد"
"Add New Role","افزودن وظیفه‌ی جدید"
"Street Address","آدرس خیابان"
"Are You Sure?","شما مطمئن‌اید؟"
"Shipping Address","آدرس ارسال"
"Paid","پرداخت شده"
"Page","صفحه‌ی"
"Discount","تخفیف"
"Set root category for this store in","تنظیم رده‌ی ریشه برای این فروشگاه در"
"Groups","گروه‌ها"
"View","مشاهده"
"Qty Ordered","تعداد سفارش داده شده"
"Global Record Search","جستجوی رکورد سراسری"
"Card Number","شماره‌ی کارت"
"PO Number","شماره صندوق پستی"
"Grand Total","جمع کل نهایی"
"Please select one or more attributes.","لطفا یک ویژگی یا بیشتر را انتخاب نمایید."
"Dashboard","داشبورد"
"Are you sure you want to do this?","شما مطمئن‌اید که می‌خواهید این را انجام دهید؟"
"Please add one or more options","لطفا یک گزینه با بیشتر اضافه نمایید"
"Role Users","کاربران وظیفه"
"Add New Tax Rule","افزودن قانون مالیات جدید"
"Subscribe to newsletter","اشتراک در خبرنامه"
"Dashboard Control","داشبورد کنترل"
"Default Shipping","ارسال پیش فرض"
"Qty","تعداد"
"Add to Queue","افزودن به صف"
"Average Sale","میانگین فروش"
"Cancel","لغو"
"All stores","همه‌ی فروشگاه‌ها"
"Personal Information","اطلاعات شخصی"
"City","شهر"
"Export Tax Rates","صدور نرخ‌های مالیات"
"1 star","1 ستاره"
"Current Configuration Scope","دامنه‌ی پیکربندی جاری"
"Add New Template","افزودن قالب جدید"
"Move to:","انتقال به:"
"First Name","نام کوچک"
"Change Order Status","تغییر وضعیت سفارش"
"Are you sure you want to delete this address?","شما مطمئن‌اید که می‌خواهید‌ این آدرس را حذف کنید؟"
"Are you sure you want to do it?","شما مطمئن‌اید که می‌خواهید آن را انجام دهید؟"
"Add to Order","افزودن به سفارش"
"Product ID","شناسه‌ی محصول"
"Payment Method","روش پرداخت"
"What is this?","این چیست؟"
"Users","کاربران"
"Customer Addresses","آدرس‌های مشتری"
"Qty Backordered","تعداد پیش سفارش شده"
"You can not remove system attribute from this set.","شما نمی‌توانید ویژگی سیستمی را از این مجموعه بردارید."
"Price","قیمت"
"Who","کسی که"
"Rating Not Alvailable","امتیاز در دسترس نیست"
"Order Comment","توضیح سفارش"
"Edit Role","ویرایش وظیفه"
"Tax Rates Import / Export","ورورد / صدور نرخ‌های مالیات"
"Magento Logo","لوگوی مجنتو"
"A name is required","یک نام الزامی است"
"Assigned options","گزینه‌های اختصاص یافته"
"Please Enter New Group Name","لطفا نام گروه جدید را وارد نمایید."
"Name","نام"
"Email Preview","پیش نمایش ایمیل"
"Newsletter Queue","صف خبرنامه"
"Remove","برداشتن"
"Last Log In:","آخرین ورود:"
"Logged in as <strong>%s</strong>","وارد شده به عنوان <strong>%s</strong>"
"Name on Card","نام روی کارت"
"All Stores","همه‌ی فروشگاه‌ها"
"Send comment to customer","فرستادن توضیح به مشتری"
"Account Created on:","حساب ایجاد شده در:"
"Backups Control","کنترل پشتیبان‌ها"
"Add New Address","افزودن آدرس جدید"
"Account Created in:","حساب ایجاد شده در:"
"Default Billing","صورت حساب پیش فرض"
"Manage Titles (Size, Color, etc.)","مدیریت عناوین (اندازه، رنگ، و غیره)"
"Please confirm site switching. All data not saved will be lost.","لطفا تعویض سایت را تایید نمایید. تمام داده‌های ذخیره نشده از دست خواهند رفت."
"Please select from each ratings above","لطفا از هر یک از امتیازات فوق انتخاب نمایید"
"Qty Shipped","تعداد ارسال شده"
"Are you sure you want to cancel add this address?","شما مطمئن‌اید که می‌خواهید افزودن این آدرس را لغو کنید؟"
"The information in this tab has been changed.","اطلاعات در این تب تغییر یافت."
"2 stars","2 ستاره"
"Apply","اعمال"
"Total","مجموع"
"User roles","وظایف کاربر"
"Wishlist Report","گزارش لیست دلخواه"
